doc_rank	rank	affiliation	firstname	initials	lastname
56	62	Department of Surgical Oncology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Thanh U	TU	Barbie
56	63	Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts.	Vivek	V	Sivathanu
56	64	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Joshua	J	Wong
56	65	Division of Thoracic Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	William G	WG	Richards
56	66	Division of Thoracic Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Raphael	R	Bueno
56	67	Department of Surgical Oncology, Brigham and Women's Hospital, Harvard Medical School, Boston, Massachusetts.	Charles H	CH	Yoon
56	68	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, Massachusetts."	Juan	J	Miret
56	69	Melanoma Research Center and Molecular and Cellular Oncogenesis Program, The Wistar Institute, Philadelphia, Pennsylvania.	Meenhard	M	Herlyn
56	70	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Levi A	LA	Garraway
56	71	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
Broad Institute of Harvard and MIT, Cambridge, Massachusetts."	Eliezer M	EM	Van Allen
56	72	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Gordon J	GJ	Freeman
56	73	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, Massachusetts."	Paul T	PT	Kirschmeier
56	74	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Jochen H	JH	Lorch
56	75	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Patrick A	PA	Ott
56	76	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	F Stephen	FS	Hodi
56	77	Division of Medical Oncology, Massachusetts General Hospital Cancer Center, Harvard Medical School, Boston, Massachusetts.	Keith T	KT	Flaherty
56	78	"Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts.
Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts."	Roger D	RD	Kamm
56	79	Department of Surgery, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts.	Genevieve M	GM	Boland
56	80	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.
Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, Massachusetts."	Kwok-Kin	KK	Wong
56	81	Gilead Sciences, Foster City, California. dbarbie@partners.org CloudP_Paweletz@dfci.harvard.edu David.Dornan@gilead.com.	David	D	Dornan
56	82	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts. dbarbie@partners.org CloudP_Paweletz@dfci.harvard.edu David.Dornan@gilead.com.
Belfer Center for Applied Cancer Science, Dana-Farber Cancer Institute, Boston, Massachusetts."	Cloud Peter	CP	Paweletz
56	83	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts. dbarbie@partners.org CloudP_Paweletz@dfci.harvard.edu David.Dornan@gilead.com.	David A	DA	Barbie
57	0	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Jean-Sebastien	JS	Frenel
57	1	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Christophe	C	Le Tourneau
57	2	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Bert	B	O'Neil
57	3	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Patrick A	PA	Ott
57	4	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Sarina A	SA	Piha-Paul
57	5	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Carlos	C	Gomez-Roca
57	6	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Emilie M J	EMJ	van Brummelen
57	7	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Hope S	HS	Rugo
57	8	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Shari	S	Thomas
57	9	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Sanatan	S	Saraf
57	10	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Reshma	R	Rangwala
57	11	Jean-Sebastien Frenel, Institut de Cancerologie de l'Ouest, Centre René Gauducheau, Saint-Herblain; Christophe Le Tourneau, Institut Curie, Paris and Saint-Cloud, and Institut National de la Santé et de la Recherche Médicale U900 Research Unit, Saint-Cloud; Carlos Gomez-Roca, Institut Claudius Regaud, Toulouse; Andrea Varga, Gustave Roussy, Villejuif, France; Bert O'Neil, Indiana University Health University Hospital, Indianapolis, IN; Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Sarina A. Piha-Paul, The University of Texas MD Anderson Cancer Center, Houston, TX; Emilie M.J. van Brummelen, The Netherlands Cancer Institute, Amsterdam, Netherlands; Hope S. Rugo, University of California, San Francisco, San Francisco, CA; and Shari Thomas, Sanatan Saraf, and Reshma Rangwala, Merck & Co., Inc., Kenilworth, NJ.	Andrea	A	Varga
58	0	"Division of Endocrinology, Diabetes and Hypertension, Brigham and Women's Hospital, Boston, Massachusetts.
MetroWest Medical Center, Framingham, Massachusetts."	Hyunju	H	Lee
58	1	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	F Stephen	FS	Hodi
58	2	Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Anita	A	Giobbie-Hurder
58	3	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Patrick A	PA	Ott
58	4	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Elizabeth I	EI	Buchbinder
58	5	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Rizwan	R	Haq
58	6	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Sara	S	Tolaney
58	7	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Romualdo	R	Barroso-Sousa
58	8	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Kevin	K	Zhang
58	9	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Hilary	H	Donahue
58	10	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Meredith	M	Davis
58	11	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Maria E	ME	Gargano
58	12	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts.	Kristina M	KM	Kelley
58	13	Division of Endocrinology, Diabetes and Hypertension, Brigham and Women's Hospital, Boston, Massachusetts.	Rona S	RS	Carroll
58	14	Division of Endocrinology, Diabetes and Hypertension, Brigham and Women's Hospital, Boston, Massachusetts.	Ursula B	UB	Kaiser
58	15	Division of Endocrinology, Diabetes and Hypertension, Brigham and Women's Hospital, Boston, Massachusetts. lmin1@partners.org.	Le	L	Min
59	0	Patrick A. Ott, Dana-Farber Cancer Institute, Brigham and Women's Hospital, and Harvard Medical School, Boston, MA; and Jean-Charles Soria, Gustave Roussy and University Paris-Sud, Villejuif, France.	Patrick A	PA	Ott
59	1	Patrick A. Ott, Dana-Farber Cancer Institute, Brigham and Women's Hospital, and Harvard Medical School, Boston, MA; and Jean-Charles Soria, Gustave Roussy and University Paris-Sud, Villejuif, France.	Jean-Charles	JC	Soria
60	0	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Patrick A	PA	Ott
60	1	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Elena	E	Elez
60	2	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Sandrine	S	Hiret
60	3	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Dong-Wan	DW	Kim
60	4	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Anne	A	Morosky
60	5	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Sanatan	S	Saraf
60	6	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Bilal	B	Piperdi
60	7	Patrick A. Ott, Dana-Farber Cancer Institute, Boston, MA; Elena Elez, Vall d'Hebron Institute of Oncology, Barcelona, Spain; Sandrine Hiret, ICO René Gauducheau, Nantes, France; Dong-Wan Kim, Seoul National University Hospital, Seoul, South Korea; Anne Morosky, Sanatan Saraf, and Bilal Piperdi, Merck & Co, Kenilworth; and Janice M. Mehnert, Rutgers Cancer Institute of New Jersey, New Brunswick, NJ.	Janice M	JM	Mehnert
61	0	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA.	Dylan J	DJ	Martini
61	1	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA.	Aly-Khan A	AA	Lalani
61	2	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA.	Dominick	D	Bossé
61	3	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA.	John A	JA	Steinharter
61	4	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA.	Lauren C	LC	Harshman
61	5	"Melanoma Center, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave, Boston, MA, 02215, USA."	F Stephen	FS	Hodi
61	6	"Melanoma Center, Dana-Farber Cancer Institute, Harvard Medical School, Boston, MA, USA.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave, Boston, MA, 02215, USA."	Patrick A	PA	Ott
61	7	Lank Center for Genitourinary Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 450 Brookline Ave D1230, Boston, MA, 02215, USA. Toni_Choueiri@dfci.harvard.edu.	Toni K	TK	Choueiri
62	0	Department of Medical Oncology, Dana Farber Cancer Institute, Brigham and Women's Hospital, and Harvard Medical School, Boston, MA, USA.	Raphael B	RB	Moreira
62	1	Department of Medical Oncology, Dana Farber Cancer Institute, Brigham and Women's Hospital, and Harvard Medical School, Boston, MA, USA.	Lana	L	Hamieh
62	2	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Evisa	E	Gjini
62	3	Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA.	Ana	A	Lako
62	4	Department of Imaging, Dana Farber Cancer Institute, Brigham and Women's Hospital Harvard Medical School, Boston, MA, USA.	Katherine M	KM	Krajewski
62	5	Department of Surgery, Brigham and Women's Hospital, Harvard Medical School, Boston, MA, USA.	Charles H	CH	Yoon
62	6	"Department of Medical Oncology, Dana Farber Cancer Institute, Brigham and Women's Hospital, and Harvard Medical School, Boston, MA, USA. Patrick_Ott@dfci.harvard.edu.
Center for Immuno-Oncology, Dana-Farber Cancer Institute, Boston, MA, USA. Patrick_Ott@dfci.harvard.edu.
Melanoma Disease Center & Center for Immuno-Oncology, Dana Farber Cancer Institute Harvard Medical School, Boston, MA, 02215, USA. Patrick_Ott@dfci.harvard.edu."	Patrick A	PA	Ott
63	0	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA.
Harvard Medical School, Boston, Massachusetts 02215, USA."	Patrick A	PA	Ott
63	1	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Zhuting	Z	Hu
63	2	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Harvard Medical School, Boston, Massachusetts 02215, USA.
Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA."	Derin B	DB	Keskin
63	3	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA."	Sachet A	SA	Shukla
63	4	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Jing	J	Sun
63	5	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	David J	DJ	Bozym
63	6	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Wandi	W	Zhang
63	7	Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Adrienne	A	Luoma
63	8	Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Anita	A	Giobbie-Hurder
63	9	"Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts 02215, USA.
Ragon Institute of MGH, MIT, and Harvard, Cambridge, Massachusetts 02139, USA."	Lauren	L	Peter
63	10	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Christina	C	Chen
63	11	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Oriol	O	Olive
63	12	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Todd A	TA	Carter
63	13	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Shuqiang	S	Li
63	14	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	David J	DJ	Lieb
63	15	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Thomas	T	Eisenhaure
63	16	Center for Immuno-Oncology (CIO), Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Evisa	E	Gjini
63	17	Department of Pathology, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA.	Jonathan	J	Stevens
63	18	Department of Pathology, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA.	William J	WJ	Lane
63	19	CuriRx, Inc., Wilmington, Massachusetts 01887, USA.	Indu	I	Javeri
63	20	CuriRx, Inc., Wilmington, Massachusetts 01887, USA.	Kaliappanadar	K	Nellaiappan
63	21	Oncovir, Inc., 3203 Cleveland Avenue, NW, Washington DC 20008, USA.	Andres M	AM	Salazar
63	22	Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Heather	H	Daley
63	23	Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts 02215, USA.	Michael	M	Seaman
63	24	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA.
Harvard Medical School, Boston, Massachusetts 02215, USA."	Elizabeth I	EI	Buchbinder
63	25	"Harvard Medical School, Boston, Massachusetts 02215, USA.
Department of Surgery, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA."	Charles H	CH	Yoon
63	26	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Maegan	M	Harden
63	27	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Niall	N	Lennon
63	28	Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.	Stacey	S	Gabriel
63	29	"Center for Immuno-Oncology (CIO), Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA."	Scott J	SJ	Rodig
63	30	"Harvard Medical School, Boston, Massachusetts 02215, USA.
Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts 02215, USA.
Ragon Institute of MGH, MIT, and Harvard, Cambridge, Massachusetts 02139, USA."	Dan H	DH	Barouch
63	31	"Harvard Medical School, Boston, Massachusetts 02215, USA.
Department of Pathology, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA."	Jon C	JC	Aster
63	32	"Harvard Medical School, Boston, Massachusetts 02215, USA.
Broad Institute of MIT and Harvard, Cambridge, Massachusetts 02142, USA.
Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA."	Gad	G	Getz
63	33	"Harvard Medical School, Boston, Massachusetts 02215, USA.
Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA."	Kai	K	Wucherpfennig
63	34	Department of Biostatistics and Computational Biology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.	Donna	D	Neuberg
63	35	"Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, Massachusetts 02215, USA.
Department of Medicine, Brigham and Women's Hospital, Boston, Massachusetts 02215, USA.
Harvard Medical School, Boston, Massachusetts 02215, USA."	Jerome	J	Ritz
